REF_DATE,GEO,DGUID,Inequality measures (5),Coordinate,Year (2):2020[1],Symbol,Year (2):2015[2],Symbol
2021,Canada,2021A000011124,Total - Population in private households,1.1,36328475,,34460065,
2021,Canada,2021A000011124,Gini index on adjusted household market income,1.2,0.462,,0.464,
2021,Canada,2021A000011124,Gini index on adjusted household total income,1.3,0.347,,0.387,
2021,Canada,2021A000011124,Gini index on adjusted household after-tax income,1.4,0.302,,0.342,
2021,Canada,2021A000011124,P90/P10 ratio on adjusted household after-tax income,1.5,3.8,,4.6,
2021,Newfoundland and Labrador,2021A000210,Total - Population in private households,2.1,502100,,512250,
2021,Newfoundland and Labrador,2021A000210,Gini index on adjusted household market income,2.2,0.495,,0.478,
2021,Newfoundland and Labrador,2021A000210,Gini index on adjusted household total income,2.3,0.338,,0.367,
2021,Newfoundland and Labrador,2021A000210,Gini index on adjusted household after-tax income,2.4,0.290,,0.323,
2021,Newfoundland and Labrador,2021A000210,P90/P10 ratio on adjusted household after-tax income,2.5,3.7,,4.4,
2021,Division No.  1,2021A00031001,Total - Population in private households,3.1,267550,,266705,
2021,Division No.  1,2021A00031001,Gini index on adjusted household market income,3.2,0.469,,0.456,
2021,Division No.  1,2021A00031001,Gini index on adjusted household total income,3.3,0.341,,0.372,
2021,Division No.  1,2021A00031001,Gini index on adjusted household after-tax income,3.4,0.293,,0.327,
2021,Division No.  1,2021A00031001,P90/P10 ratio on adjusted household after-tax income,3.5,3.8,,4.6,
2021,"Division No.  1, Subd. V",2021A00051001101,Total - Population in private households,4.1,,x,0,...
2021,"Division No.  1, Subd. V",2021A00051001101,Gini index on adjusted household market income,4.2,,x,0,...
2021,"Division No.  1, Subd. V",2021A00051001101,Gini index on adjusted household total income,4.3,,x,0,...
2021,"Division No.  1, Subd. V",2021A00051001101,Gini index on adjusted household after-tax income,4.4,,x,0,...
2021,"Division No.  1, Subd. V",2021A00051001101,P90/P10 ratio on adjusted household after-tax income,4.5,,x,0,...
2021,Portugal Cove South,2021A00051001105,Total - Population in private households,5.1,,x,,x
2021,Portugal Cove South,2021A00051001105,Gini index on adjusted household market income,5.2,,x,,x
2021,Portugal Cove South,2021A00051001105,Gini index on adjusted household total income,5.3,,x,,x
2021,Portugal Cove South,2021A00051001105,Gini index on adjusted household after-tax income,5.4,,x,,x
2021,Portugal Cove South,2021A00051001105,P90/P10 ratio on adjusted household after-tax income,5.5,,x,,x
2021,Trepassey,2021A00051001113,Total - Population in private households,6.1,405,,485,
2021,Trepassey,2021A00051001113,Gini index on adjusted household market income,6.2,0.556,,0.538,
2021,Trepassey,2021A00051001113,Gini index on adjusted household total income,6.3,0.307,,0.370,
2021,Trepassey,2021A00051001113,Gini index on adjusted household after-tax income,6.4,0.262,,0.324,
2021,Trepassey,2021A00051001113,P90/P10 ratio on adjusted household after-tax income,6.5,3.1,,4.2,
2021,St. Shott's,2021A00051001120,Total - Population in private households,7.1,,x,,x
2021,St. Shott's,2021A00051001120,Gini index on adjusted household market income,7.2,,x,,x
2021,St. Shott's,2021A00051001120,Gini index on adjusted household total income,7.3,,x,,x
2021,St. Shott's,2021A00051001120,Gini index on adjusted household after-tax income,7.4,,x,,x
2021,St. Shott's,2021A00051001120,P90/P10 ratio on adjusted household after-tax income,7.5,,x,,x
2021,"Division No.  1, Subd. U",2021A00051001124,Total - Population in private households,8.1,1370,,1625,
2021,"Division No.  1, Subd. U",2021A00051001124,Gini index on adjusted household market income,8.2,0.451,,0.461,
2021,"Division No.  1, Subd. U",2021A00051001124,Gini index on adjusted household total income,8.3,0.288,,0.336,
2021,"Division No.  1, Subd. U",2021A00051001124,Gini index on adjusted household after-tax income,8.4,0.245,,0.300,
2021,"Division No.  1, Subd. U",2021A00051001124,P90/P10 ratio on adjusted household after-tax income,8.5,3.2,,4.1,
2021,Cape Broyle,2021A00051001126,Total - Population in private households,9.1,500,,490,
2021,Cape Broyle,2021A00051001126,Gini index on adjusted household market income,9.2,0.490,,0.502,
2021,Cape Broyle,2021A00051001126,Gini index on adjusted household total income,9.3,0.309,,0.358,
2021,Cape Broyle,2021A00051001126,Gini index on adjusted household after-tax income,9.4,0.264,,0.316,
2021,Cape Broyle,2021A00051001126,P90/P10 ratio on adjusted household after-tax income,9.5,3.6,,4.2,
2021,Renews-Cappahayden,2021A00051001131,Total - Population in private households,10.1,280,,300,
2021,Renews-Cappahayden,2021A00051001131,Gini index on adjusted household market income,10.2,0.544,,0.516,
2021,Renews-Cappahayden,2021A00051001131,Gini index on adjusted household total income,10.3,0.332,,0.360,
2021,Renews-Cappahayden,2021A00051001131,Gini index on adjusted household after-tax income,10.4,0.282,,0.320,
2021,Renews-Cappahayden,2021A00051001131,P90/P10 ratio on adjusted household after-tax income,10.5,3.4,,4.4,
2021,Fermeuse,2021A00051001136,Total - Population in private households,11.1,250,,290,
2021,Fermeuse,2021A00051001136,Gini index on adjusted household market income,11.2,0.504,,0.548,
2021,Fermeuse,2021A00051001136,Gini index on adjusted household total income,11.3,0.282,,0.380,
2021,Fermeuse,2021A00051001136,Gini index on adjusted household after-tax income,11.4,0.234,,0.348,
2021,Fermeuse,2021A00051001136,P90/P10 ratio on adjusted household after-tax income,11.5,3.1,,4.0,
2021,Port Kirwan,2021A00051001140,Total - Population in private households,12.1,,x,,x
