Location,Visits per hour,Visits per Week,Annual Visits per Capita,Gate Count,Info Transactions per Hour,Info Transactions per Week,Informational Transactions,Computer Bookings per Hour,Computer Bookings per Week,Program Attendance,Program Attendance Per Capita,Visits to the library website,Website visits per Capita,Population Served
Bette Winner Public Library,0.3,10.3,0.4,534,0,4,228,0.0,0,0,0,129,0,"1,265"
Bibliothèque Allard Regional Library,5.9,186.2,1.9,"9,683",1,25,"1,280",0.0,0,406,0,"6,980",1,"5,047"
Bibliothèque Montcalm Library,3.2,48.1,2.0,"2,500",0,0,25,0.0,0,98,0,,0,"1,260"
Bibliothèque Ritchot Library,3.2,48.4,0.4,"2,517",1,11,554,0.0,0,0,0,482,0,"6,679"
Bibliothèque municipal La Broquerie Municipal Library,11.1,277.0,2.4,"14,402",2,58,"3,000",0.0,0,"1,026",0,"3,261",1,"6,076"
Bibliothèque St. Claude Library,1.8,25.5,0.5,"1,324",0,1,45,0.0,0,0,0,593,0,"2,648"
Bibliothèque Ste Anne Library,1.6,56.7,1.4,"2,947",0,,,0.0,0,,0,"3,342",2,"2,114"
Bibliothèque Taché  Library,1.9,29.8,0.1,"1,550",0,,,0.0,0,94,0,"2,300",0,"11,568"
Boissevain-Morton Library and Archives,17.6,492.6,10.9,"25,613",1,24,"1,250",0.1,4,"1,482",1,"22,486",10,"2,353"
Border Regional Library,5.6,225.1,1.6,"11,705",0,20,"1,035",0.5,22,"2,112",0,"6,591",1,"7,157"
Boyne Regional Library,7.5,384.7,3.6,"20,002",0,8,400,0.1,3,481,0,"4,300",1,"5,599"
Bren Del Win Centennial Library,1.4,46.1,1.1,"2,396",0,3,175,0.0,0,0,0,450,0,"2,163"
Brokenhead River Regional Library,17.3,518.3,3.2,"26,954",2,58,"3,000",0.1,4,0,0,"23,780",3,"8,341"
Churchill Public Library,1.1,25.3,1.5,"1,313",0,0,1,0.0,0,1,0,0,0,899
Emerson Public Library,0.1,3.5,0.1,183,0,0,23,0.0,0,0,0,386,0,"2,537"
Evergreen Regional Library,9.3,249.9,1.2,"12,993",2,62,"3,206",1.4,37,181,0,"29,556",3,"10,791"
