Location,Membership as % of Population Served,Total Active Library Memberships,"Non-resident, Single memberships","Non-resident, Family memberships",Total Non-resident Memberships,% Memberships Non-resident,Fee for non-resident membership - Single,Fee for non-resident membership - Family,Population Served
Bette Winner Public Library,15,185,0,,0,0,$25.00,$0.00,"1,265"
Bibliothèque Allard Regional Library,54,"2,751",4,0,4,0,$25.00,$45.00,"5,047"
Bibliothèque Montcalm Library,15,191,0,0,0,0,$0.00,$0.00,"1,260"
Bibliothèque Ritchot Library,32,"2,186",49,5,54,2,$0.00,$0.00,"6,679"
Bibliothèque municipal La Broquerie Municipal Library,24,"1,714",234,0,234,14,$0.00,$0.00,"6,076"
Bibliothèque St. Claude Library,17,472,9,0,9,2,$20.00,$20.00,"2,648"
Bibliothèque Ste Anne Library,17,585,221,,221,38,$50.00,$50.00,"2,114"
Bibliothèque Taché  Library,26,"2,960",0,0,0,0,$30.00,$30.00,"11,568"
Boissevain-Morton Library and Archives,43,"1,083",70,,70,6,$50.00,$0.00,"2,353"
Border Regional Library,18,"1,388",132,2,134,10,$35.00,$50.00,"7,157"
Boyne Regional Library,32,"1,917",0,125,125,7,$55.00,$55.00,"5,599"
Bren Del Win Centennial Library,62,"1,346",0,0,0,0,$10.00,$10.00,"2,163"
Brokenhead River Regional Library,86,"7,186",19,30,49,1,$25.00,$25.00,"8,341"
Churchill Public Library,48,441,10,0,10,2,$25.00,$25.00,899
Emerson Public Library,8,198,0,,0,0,$20.00,$0.00,"2,537"
Evergreen Regional Library,12,"1,331",33,10,43,3,$40.00,$50.00,"10,791"
Flin Flon Public Library,34,"1,782",6,0,6,0,$25.00,$0.00,"5,194"
Gaynor Family Regional Library,34,"11,649",,51,51,0,$75.00,$75.00,"33,830"
Glenwood & Souris Regional Library,30,800,35,6,41,5,$11.58,$35.00,"2,562"
Headingley Municipal Library,49,"2,147",407,0,407,19,$55.00,$55.00,"3,579"
Jake Epp Library,16,"3,411",0,853,853,25,$0.00,$95.00,"15,829"
Jolys Regional Library,44,"2,136",48,0,48,2,$60.00,$60.00,"4,750"
Lac Du Bonnet Regional Library,44,"2,045",199,0,199,10,$25.00,$45.00,"4,210"
Lakeland Regional Library,44,"2,110",0,11,11,1,$80.00,$80.00,"4,737"
Leaf Rapids Public Library,35,201,0,0,0,0,$15.00,$20.00,582
Lorne Library Services,23,717,19,7,26,4,$25.00,$25.00,"3,041"
Louise Public Library,10,187,,,,0,$20.00,$20.00,"1,918"
Lynn Lake Centennial Library,0,0,0,0,0,0,$0.00,$0.00,494
Minnedosa Regional Library,83,"3,022",7,7,14,0,$45.00,$45.00,"3,638"
North Norfolk-MacGregor Regional Library,83,"3,242",40,20,60,2,$10.00,$25.00,"3,853"
North-West Regional Library,59,"4,097",,91,91,2,$0.00,$50.00,"6,843"
Parkland Regional Library,13,"5,136",,23,23,0,$0.00,$60.00,"39,852"
Pauline Johnson Library,59,798,55,,55,7,$25.00,$0.00,"1,254"
Pinawa Public Library,95,"1,423",,,,0,$0.00,$0.00,"1,504"
Portage la Prairie Regional Library,36,"7,587",305,5,310,4,$20.00,$45.00,"20,279"
Prairie Crocus Regional Library,74,"1,629",14,28,42,3,$25.00,$25.00,"2,133"
R.M. of Argyle Public Library,56,572,0,1,1,0,$25.00,$25.00,"1,025"
Rapid City Regional Library,39,642,5,,5,1,$25.00,$0.00,"1,626"
Reston District Library,27,704,5,,5,1,$15.00,$20.00,"2,633"
Russell & District Regional Library,57,"1,387",0,6,6,0,$0.00,$50.00,"2,442"
Snow Lake Community Library,35,316,0,0,0,0,$0.00,$0.00,899
South Central Regional Library,49,"21,722",,191,191,1,$75.00,$75.00,"44,223"
South Interlake Regional Library,26,"4,109",0,86,86,2,$0.00,$75.00,"15,205"
Southwestern Manitoba Regional Library,37,814,0,0,0,0,$40.00,$40.00,"2,217"
Springfield Public Library,36,"5,560",15,,15,0,$35.00,$35.00,"15,342"
The Pas Regional Library,63,"5,132",240,5,245,5,$25.00,$60.00,"7,793"
Thompson Public Library,17,"2,404",31,5,36,1,$35.00,$35.00,"13,678"
UCN Chemawawin Public Library,13,163,0,0,0,0,$0.00,$0.00,"1,267"
UCN Norway House Public Library,2,116,0,0,0,0,$0.00,$0.00,"4,927"
UCN Pukatawagan Public Library,1,25,0,0,0,0,$0.00,$0.00,"1,844"
Valley Regional Library,58,"2,863",14,0,14,0,$10.00,$30.00,"4,932"
Victoria Municipal Library,23,283,26,1,27,10,$20.00,$40.00,"1,132"
Western Manitoba Regional Library,14,"9,135",0,453,453,5,$50.00,$50.00,"61,077"
Winnipeg Public Library,10,"73,750",,"2,036","2,036",3,$0.00,$155.00,"705,244"
Median,34,"1,629",32,11,49,2,$25.00,$45.00,"3,746"
Total,,"209,750","2,252","4,058","6,310",,"$1,281.58","$1,810.00","1,124,085"
Avg,36,"3,958",80,162,158,5,$32.86,$46.41,"20,816"
Max,95,"73,750",407,"2,036","2,036",38,$80.00,$155.00,"705,244"
Min,1,25,4,1,1,0,$10.00,$10.00,494
